Vis,Temp,RI_Max,RI_Min,Dist,RI,AH
15517.00048,8.910265298,0.0,0.0,2012.580606,0.0,4.765033149
58330.39802,11.44201351,0.0,0.0,2959.89006,0.0,8.659938261
6424.212137,0.059641451,0.0,0.0,4819.6798,0.0,4.639319118
27645.96885,24.14034965,0.0,0.0,3969.679261,0.0,19.87453548
17462.60013,23.09974977,0.0,0.0,2119.587133,0.0,18.16951089
75004.84011,4.978217712,0.0,0.0,2019.232264,0.0,4.265714371
5088.135256,10.08923082,0.0,0.0,2583.710598,0.0,6.256370949
17921.96708,21.33540587,0.0143604992748498,0.0129095697035001,2964.371903,0.013077237,16.47929895
14013.29264,0.975422486,0.0,0.0,4827.999784,0.0,4.757394245
28322.05462,16.61619608,0.0,0.0,2589.061676,0.0,6.441054196
35071.32228,17.49016832,0.0,0.0,2021.393048,0.0,11.6405254
26781.32174,21.49179498,0.0138264374128663,0.0114975760946295,2962.098976,0.01274696,15.5131936
27358.07722,7.873936312,0.0,0.0,4826.440361,0.0,6.828937353
12581.61323,25.37617554,0.331677943451413,0.299137949523117,2955.527311,0.30898339,20.29652329
15808.36998,27.15039142,0.0,0.0,2114.815898,0.0,19.50390676
32504.57771,22.95312309,0.0,0.0,2959.679724,0.0,17.71778341
73491.74015,9.492792424,0.0,0.0,4825.939292,0.0,6.49727395
18492.67122,29.4695594,0.0,0.0,3967.529495,0.0,21.78713689
23342.60498,8.527941861,0.0,0.0,2012.403016,0.0,4.573096616
62786.62746,8.438260372,0.0,0.0,4820.878696,0.0,4.244669103
28451.89034,26.8739972,0.0,0.0,2964.261769,0.0,18.24497443
21609.91568,15.83772114,0.0,0.0,2589.176798,0.0,8.653054524
9272.975683,9.170421191,0.0,0.0,2585.585999,0.0,7.673889011
27208.39446,26.81708168,0.0,0.0,3964.45164,0.0,20.75057698
8663.189204,8.051000588,0.0,0.0,2584.226786,0.0,7.157094162
75001.10899,8.173325261,0.0,0.0,4821.596044,0.0,6.857121447
29455.31989,22.93888025,0.0,0.0,2955.678278,0.0,15.98388118
59492.175,24.3652658,0.0,0.0,2964.908587,0.0,14.0674753
3630.611368,22.01095007,0.813439891562206,0.793592226584135,2958.601625,0.793693439,17.17816989
74999.57724,9.631368741,0.0,0.0,2021.536304,0.0,2.524678864
5749.755582,23.6828643,3.15786761076843,2.88420353972147,2120.132026,2.90926344,19.65441673
23582.78187,26.2807264,0.0,0.0,3966.372214,0.0,22.68379005
66183.77263,4.947350518,0.0,0.0,2014.867497,0.0,3.597556716
7272.936424,4.862580769,0.0322914125754706,0.027455853178,4820.249268,0.030404906,6.613972281
35977.22286,23.21413311,0.0,0.0,2115.850113,0.0,18.84602975
74997.00674,9.102782458,0.0,0.0,4820.271979,0.0,7.08141792
