AH,RI,Temp_Diff,RI_Max,WS_Max,Hour
3.97660171,0.037592944,-0.06,0.0394798629880694,1.844519803,4
4.736738604,0.0,-0.3,0.0,5.228971912,0
4.710616599,0.0,-0.3,0.0,0.083961412,4
4.106521221,0.005037662,0.2,0.0055015974041939,1.278283729,11
4.058956707,0.063896021,0.468,0.0640804244626975,1.192390308,11
5.360197552,0.007995157,0.308,0.0087112532100228,0.626794568,6
4.567437841,0.407957495,-2.627,0.420459332894659,3.456241754,22
4.523427225,0.155508713,-2.2,0.166777420740461,3.91966832,22
4.691156792,0.27680213,-0.2,0.285520754612393,5.468762338,0
3.969428486,0.006040479,0.25,0.0064033411747666,3.327916736,10
4.205777168,0.0,0.2,0.0,1.183303416,8
4.784791196,0.0,-0.2,0.0,5.349104369,0
4.358498689,0.010835808,0.3,0.0113377354879683,1.998403381,12
3.78868866,0.0,0.563,0.0,1.36956787,8
4.353652903,0.013075771,0.305,0.0134298753215059,1.756174434,12
4.627033424,0.078945675,-0.187,0.0805371952101562,3.503929461,23
3.908466822,0.097231719,0.0,0.103048617916342,0.749351045,15
4.427174323,0.061429464,0.4,0.0671671803893844,1.953802152,12
4.49650565,0.0,0.264,0.0,1.288628435,12
4.43327778,0.0,0.3,0.0,1.073775255,12
4.638040815,0.00404705,-0.018,0.0043096693560173,7.17485704,4
3.986990515,0.0,0.2,0.0,2.360072122,10
4.188773931,0.13110077,0.548,0.137479200619005,0.970557799,11
3.91789444,0.0,0.3,0.0,2.43224079,9
4.09961414,0.0,-0.1,0.0,0.0,6
5.369519669,0.0,0.308,0.0,0.632522647,6
4.569344929,0.219832034,-2.54,0.221513100470158,3.470122158,22
4.575081559,0.0,0.152,0.0,1.231383275,13
3.906663525,0.288421711,0.033,0.288680050716195,0.861575642,6
4.568428816,0.0,0.048,0.0,0.090440636,14
4.303098421,0.017788413,0.4,0.0186901343529978,1.541458473,11
4.636470773,0.087680191,-1.367,0.0889358105173786,0.628192653,14
4.537925259,0.0,0.317,0.0,1.019499622,12
4.281698644,0.021634043,0.4,0.022550170600731,1.526560735,12
4.010698146,0.026871148,0.057,0.0292989540368389,1.768485233,11
4.406856754,0.028626308,0.3,0.0311997372962881,1.919582771,12
3.774626866,0.0,0.3,0.0,2.100067222,9
4.158605491,0.150478347,0.55,0.162417069190607,2.168940429,11
4.463057878,0.0,0.202,0.0,0.808724252,13
4.362016243,0.116369773,0.378,0.126578126409505,1.881105889,12
4.681137033,0.004928913,0.048,0.0050799891572822,0.088969592,14
4.356536549,0.0,0.2,0.0,1.822500278,12
4.699550952,0.0,-0.2,0.0,3.619055284,0
3.972078527,0.040226983,0.0,0.0416567040288922,1.346413151,4
3.997853148,0.0,0.212,0.0,2.649094214,10
4.225007591,0.15025967,0.55,0.164272661825708,2.16238455,11
4.359194911,0.089146853,0.3,0.0920213672374251,1.260903564,8
4.504610189,0.010979998,0.35,0.0117156874352625,0.908313782,13
3.980072809,0.078205987,0.0,0.0852180763892591,0.0,6
3.859818118,0.101299846,0.0,0.105206911951315,0.710076441,4
3.898413458,0.076259692,0.1,0.0785995738939061,0.013454184,6
4.673174467,0.413877538,-0.25,0.454476382001933,4.470577357,0
4.594211209,0.078057485,0.2,0.0823422233712482,1.184956252,13
4.665898632,0.11487916,-0.112,0.125873699548639,4.852477795,23
4.307622818,0.154098903,-2.232,0.154484505388633,2.01795576,22
4.221975826,0.05098479,0.4,0.0546362695242641,1.717645766,11
4.33675668,0.024634065,0.4,0.0259824769672728,0.643553609,8
4.077413808,0.013859513,0.0,0.014283090425791,1.630882178,11
4.376191119,0.219375548,-2.3,0.238725013022767,2.785952403,22
4.139619692,0.024432529,0.2,0.0258023072231548,2.182558543,11
4.54091089,1.463605657,-0.4,1.49454806649566,4.608236752,22
4.536215332,0.0,-1.4,0.0,0.210381774,14
4.042774423,0.3183778,0.037,0.326774725283496,1.358865613,6
4.392340919,0.053293521,-2.278,0.0576518124175437,2.666434454,22
