Freq,Temp,Part_Min,RI_Min,Vis,RH,RI,AH_Min,Dist,RI_Max,AH_Max,AH
83500000000,6.365665642,6.49009166270405,0.0,3609.167895,96.1468472210964,0.0,6.98827033498842,4820.523935,0.0,7.15740132401401,7.147537023
73500000000,0.334355848,8.67023683684389,0.0449576315336624,59905.75108,71.8421978699657,0.04921089,3.2877648660989,4820.36381,0.0532560773107992,3.65511166084668,3.565269985
73500000000,25.63978962,18.685699668237,0.0,16881.73435,85.4192140392085,0.0,18.3766238484837,2957.942337,0.0,20.6290496591622,20.38823444
73500000000,23.07504261,10.4860917787635,0.0,37199.91307,83.6607054834027,0.0,15.74722627477,2961.452737,0.0,18.2920175971179,17.26994734
73500000000,20.69040291,0.0,0.0,31679.6013,85.001445305371,0.0,14.3642217823735,2955.288191,0.0,15.4057655851081,15.29096382
83500000000,5.261843988,7.76332229668543,0.0,20976.55199,93.0392852281323,0.0,6.02636997525272,4823.397571,0.0,6.73910915430519,6.433128173
83500000000,7.66080704,96.143660842603,0.112735776695968,6058.12844,87.3102769248248,0.114778119,6.90693953300775,2021.908039,0.118978036579524,7.46222793634905,7.060618641
83500000000,20.4916323,61.7803691027378,0.092172030642179,10632.67928,83.1751546853197,0.100931274,14.7762484380747,2960.639462,0.110964559797622,15.3564881020117,14.79007904
73500000000,16.19206452,10.7191121784698,0.004851473569101,31485.69486,79.3056128981688,0.004963422,10.6085351489568,2020.616705,0.0054333728748652,11.4795777435083,10.92686168
73500000000,4.425019798,0.0,0.0,10141.40328,94.2679157665882,0.0,6.15709360837851,4822.738961,0.0,6.28307800025266,6.166984693
73500000000,22.22548045,11.3899113814616,0.0,12254.22629,92.4038290545562,0.0,17.3657388863888,2115.743015,0.0,18.2817380834123,18.16752362
73500000000,23.47554691,151.790050945054,0.470715331596758,5005.725862,90.8247876197241,0.476593289,18.3483442707372,2961.118624,0.517020459903568,19.5141653228574,19.18239141
83500000000,22.30586974,116.644894903351,0.236016184830102,9563.718264,86.5226313304754,0.239243236,15.4569707636928,2961.144032,0.245216061463727,17.6485092964705,17.09007905
83500000000,27.47545911,0.0,0.0,41669.81455,71.383788808408,0.0,18.2303036452697,2114.531165,0.0,19.3219953856912,18.87109262
73500000000,22.85065572,0.0,0.0,70864.92996,91.7741029875334,0.0,18.1599976491037,2113.282241,0.0,19.7966124577063,18.70309192
83500000000,4.977988278,0.0,0.0,43573.5424,68.5977094318057,0.0,4.54094928008398,4818.359821,0.0,5.08125377356154,4.655081727
83500000000,3.907259504,64.9981031471369,0.10439579503016,6132.067249,94.6662366225181,0.111115394,5.42495001762282,2013.811616,0.11634570570741,6.51539893756701,5.983315032
73500000000,3.717330869,16.0754362138481,0.0479861028102406,21587.03405,90.966663200496,0.050263907,5.31691166853934,4819.318659,0.0530290396881552,5.89540338399694,5.677070553
73500000000,4.530906913,81.6110690731417,0.143060762737264,7615.802511,93.1991829842268,0.153502026,5.68913611050514,4827.438874,0.161691477327232,6.31549366698097,6.140066376
83500000000,7.914559258,57.805002322843,0.0402564398119323,8031.293136,89.6092843329542,0.043986019,7.03925916664386,2017.673411,0.0459183130884821,8.06288424294481,7.366262993
73500000000,0.908520617,0.0,0.0,34646.97995,90.7902713905214,0.0,4.56808952577328,4824.091651,0.0,4.99333723102104,4.686453547
83500000000,12.56304584,6.07212177348703,0.0038914213201626,25710.88533,66.5406444189193,0.004060505,7.00523774011668,2016.87795,0.0041568932449349,7.58899270585366,7.341465165
83500000000,13.68307286,0.0,0.0,9341.011153,98.6197186644794,0.0,11.1223226120455,2019.273611,0.0,11.8403063970276,11.66113226
83500000000,4.916324565,10.4344522769901,0.0,52853.86834,83.1580242090648,0.0,5.32535316152177,4826.025292,0.0,5.89637450906293,5.620195544
83500000000,23.38058561,17.3875801471011,0.0,25431.14564,83.5658052681222,0.0,15.9853414595562,2955.327258,0.0,19.1912891638642,17.55397864
83500000000,23.2190221,9.84595531101312,0.0,21722.26796,83.468722202253,0.0,16.5732555141368,2960.858337,0.0,17.9998398493013,17.37265452
83500000000,4.589715139,4.6969955671865,0.0,63028.27727,87.4925207799046,0.0,5.65942849888921,4824.731098,0.0,6.20023831977251,5.7866307
73500000000,8.379350611,6.89251215520043,0.0,74997.82518,82.4968397366044,0.0,6.39081853306015,4823.78879,0.0,7.59746479543065,6.987613933
73500000000,2.789531696,0.0,0.0,10972.19173,94.7254257334557,0.0,5.04087075304003,2015.908474,0.0,5.85086663343309,5.555106044
83500000000,-0.273278995,40.6570750895826,0.0,3619.356777,97.5157702269328,0.0,4.57059689872137,4818.886097,0.0,4.96329929742356,4.640968569
73500000000,2.56166673,23.8789989539871,0.0949770670503107,34183.27152,81.7493733503271,0.101786047,4.36508828478288,4822.475457,0.105517815425806,5.13279007487088,4.721097944
73500000000,2.566233103,11.6776483422375,0.0,42919.43552,81.8778738501622,0.0,4.50981278187796,4826.983664,0.0,4.94768834148304,4.729975262
83500000000,19.45559201,51.2102645260747,0.0,22674.93385,90.6869680311097,0.0,13.8700053871745,2958.646587,0.0,16.5883604324774,15.17638546
83500000000,12.64250758,23.358317693945,0.0324027787997266,3993.454009,98.0922928569179,0.035983905,10.5035019654205,2018.208205,0.0387901478779173,11.5816068270564,10.87611314
73500000000,20.60666672,31.3038577970542,0.0,15625.65286,84.8764325162293,0.0,14.7646223271727,2957.435636,0.0,16.2758294749022,15.19416805
73500000000,8.150744748,12.1618738312606,0.0,9616.839129,88.8466131014712,0.0,6.90101676369356,2017.858069,0.0,7.66697199010227,7.415593898
