Vis_Max,Temp_Min,RI_Min,Temp_Max,RI,RH
42980.5555201476,0.721995165335278,0.004892773592414,0.778248438072694,0.005089161,91.1767792593065
72901.6196318644,0.49834622611378,0.0,0.585519338708688,0.0,67.8165428864771
76514.2126641787,-0.0043629495890581,0.0,-0.0038915686797395,0.0,71.8841941086046
4019.19408536775,21.671987492591,0.0,24.8106712125208,0.0,79.0409254551514
33165.1857441277,0.89541227995582,0.0828389173327651,0.944085252028376,0.086701167,95.4195766922087
73420.2528945948,0.190163001080746,0.0039589030928455,0.207199800330986,0.004024858,72.5626517837919
72695.6012464157,0.425083554403278,0.0,0.474553337779981,0.0,68.3801003449154
30924.3026547117,-0.806725117776533,0.0009875876219645,-0.701377743641509,0.000999349,83.5505995946367
7728.11726106733,0.660251938653774,0.0837242483239605,0.701085241977656,0.086100443,93.1145472419189
2254.36023113435,0.627119782250967,0.578533623826369,0.706314503896068,0.594432422,95.2506446031838
45586.9724917731,0.898149430659125,0.0340145877921601,0.991444121980139,0.036414922,85.8853635004417
5280.24687054079,0.195745941710628,0.0056450312125302,0.220545606042651,0.005927509,93.3658733972918
74806.4623508685,0.812487401173596,0.0,0.859137780498603,0.0,87.7154588226015
33458.9333864526,1.73240776646704,0.0,1.89280232483955,0.0,85.4311004835706
7854.81864812251,0.718456428473201,0.0549080553899287,0.7597812784231,0.059782609,90.88404172098
21.7883177317897,24.7912358714449,0.0,26.8137533918395,0.0,68.033907576853
9480.92174258256,24.1061892244498,0.0,25.8411963284019,0.0,79.2653476181238
20381.3224798111,1.68393161147837,0.0,1.86325329903553,0.0,89.2289529825402
71939.5088542196,0.29476061899942,0.0,0.311066954991709,0.0,70.6097034590872
33187.0261334084,-1.07470689196013,0.0,-0.973315540389936,0.0,88.8286239753578
8170.60385423354,0.62654236835286,0.0593737611214806,0.733243988524846,0.060675355,94.0440600122019
4730.08938181905,0.192086436056472,0.0,0.202269459540062,0.0,92.9358620729992
62181.9288834896,0.16346931714439,0.0,0.198114485352404,0.0,74.869686635443
2572.20764509855,0.653907091721565,0.0,0.75431522538477,0.0,96.1265842386111
72417.9743896782,0.217507130384863,0.0018511277929865,0.221544123529029,0.001983128,72.5143238144568
5766.39320681503,1.55246247425744,0.0,1.72712497786601,0.0,97.0262915698163
2740.22630450362,0.665227298146037,0.569787791166566,0.665981142062905,0.600107056,96.3688851201606
44.943477871971,23.5752849346558,0.0,26.3110577799076,0.0,76.4960714217593
3722.2945184899,0.745494694453632,0.27596452254225,0.802432450509342,0.298941677,93.8742363218563
77977.8111358745,0.434037213803205,0.0,0.463261608297825,0.0,70.2002148401821
4689.86792889018,0.0396468622055411,0.0,0.044965185152822,0.0,92.5461180376829
78877.4540278461,0.0211798187394941,0.0,0.0224438534907266,0.0,69.2875031020137
45713.3909523078,-0.0624796389948329,0.0,-0.0582556785944518,0.0,78.2643234920041
49532.2981798773,0.110718148772225,0.0143516709217956,0.12798797698225,0.015812688,75.3375878056693
5626.64496233083,0.0004386800092475,0.0,0.0005195364531572,0.0,97.394677816825
5631.20529364615,0.127265749566514,0.0,0.128814835048945,0.0,91.8415519285345
46153.3044654805,3.11851094085717,0.0,3.38002115384187,0.0,72.8143001598531
77486.8587778427,1.86722253894891,0.0,2.03459402454036,0.0,66.3410563874074
28655.6022165796,2.89052112469959,0.0,3.13838701179555,0.0,64.9887471915439
23855.3949010983,0.559669657597686,0.0,0.626448574321965,0.0,94.6478661365059
2292.08051898913,0.6325489312973,0.0,0.741007614875245,0.0,96.3742655138132
48072.305928872,0.588215283538286,0.0,0.648333780742952,0.0,86.1810120102188
2599.87189715888,0.699074871306133,0.488285742829372,0.816267314412114,0.536092199,94.4278478363504
19511.1690998549,0.245135571422338,0.0,0.275914211313575,0.0,81.2365153178068
16645.6057613607,2.06112927153966,0.0404872012454814,2.20024852399614,0.043085519,88.3041502303804
17132.5720442204,2.04169790799925,0.0,2.17064425367558,0.0,86.2006250926683
6760.83926672763,1.70998420761682,0.0,1.89848695268789,0.0,96.5566323200619
26275.1897823667,-0.679271575443761,0.0164800808016486,-0.588191747114317,0.01783352,80.5489976424108
63876.0486115785,0.22886363464359,0.0,0.263364261485733,0.0,75.4849456392762
7842.43235193274,0.733007152551914,0.0090124624749792,0.828985082130326,0.009801229,93.866940784054
4393.41825614065,0.15542059988943,0.0132472519369623,0.162852964861326,0.014094949,95.6848238987952
4108.82829459535,0.269928428352142,0.0309478694649271,0.299687883666669,0.034355153,93.456378935533
75882.4675432978,1.92605584861673,0.0,2.22467770382471,0.0,66.3790729776857
5744.7810722718,0.103780433703454,0.0,0.124065180845622,0.0,97.670111037891
20449.9702677805,1.94504620904602,0.0,2.15508462674266,0.0,87.4667242125955
66293.967694861,0.812659165773379,0.0,0.829668766523775,0.0,83.2890178443738
4948.60275368465,0.179031086444379,0.0097856739742961,0.190952496842795,0.010065775,92.3416826838356
3475.79533416359,0.0758011232856809,0.0561055846026507,0.0828344833741489,0.058479709,94.4514607000264
73238.137396879,0.248879256652982,0.0,0.267005646640887,0.0,79.7866003246835
8089.41751341296,0.606120870307341,0.0,0.622400314488402,0.0,96.3156922710716
72114.1721725393,3.87419540346641,0.0,3.91427729064391,0.0,64.2830757066382
28408.6334754776,-0.698655521064339,0.002890152890093,-0.622828131621978,0.003042759,84.2178387980605
7598.9292798601,0.499971115353759,0.0,0.579357146035675,0.0,95.4190442171027
3559.86046597913,0.5127555277514,0.147746657888712,0.585991589499368,0.150049808,95.7089865241162
